index,DateTime,min,max,avg
276,2024-05-20 02:47:20,29.25,29.85,29.4
277,2024-05-20 03:47:20,26.55,39.9,29.4
278,2024-05-20 04:47:20,25.5,27.0,25.8
279,2024-05-20 05:47:20,25.5,27.0,25.65
280,2024-05-20 06:47:20,28.2,32.1,28.8
281,2024-05-20 07:47:20,300.6,331.8,310.5
282,2024-05-20 08:47:20,362.4,372.0,363.9
283,2024-05-20 09:47:20,358.2,372.15,361.5
284,2024-05-20 10:47:20,356.1,372.15,364.2
285,2024-05-20 11:47:20,355.95,374.7,365.1
286,2024-05-20 12:47:20,358.95,374.7,365.7
287,2024-05-20 13:47:20,351.0,370.2,356.25
288,2024-05-20 14:47:20,378.75,405.45,386.4
289,2024-05-20 15:47:20,368.4,388.5,373.35
290,2024-05-20 16:47:20,310.5,356.85,333.0
291,2024-05-20 17:47:20,28.65,37.8,30.45
292,2024-05-20 18:47:20,28.65,38.55,31.65
293,2024-05-20 19:47:20,33.75,46.5,36.0
294,2024-05-20 20:47:20,30.75,43.95,34.95
295,2024-05-20 21:47:20,27.15,50.55,32.55
296,2024-05-20 22:47:20,27.3,41.55,31.8
297,2024-05-20 23:47:20,28.05,29.85,28.5
298,2024-05-21 00:47:20,27.15,28.35,27.45
299,2024-05-21 01:47:20,22.5,23.85,22.8
300,2024-05-21 02:47:20,22.8,35.85,23.4
301,2024-05-21 03:47:20,21.0,23.1,21.9
302,2024-05-21 04:47:20,24.0,26.85,24.45
303,2024-05-21 05:47:20,24.6,25.2,24.9
304,2024-05-21 06:47:20,26.4,37.65,28.65
305,2024-05-21 07:47:20,272.4,283.05,275.7
306,2024-05-21 08:47:20,338.25,352.8,342.15
307,2024-05-21 09:47:20,350.55,374.55,356.85
308,2024-05-21 10:47:20,354.0,364.2,357.75
309,2024-05-21 11:47:20,352.95,372.15,356.1
310,2024-05-21 12:47:20,356.25,372.3,360.75
311,2024-05-21 13:47:20,334.05,354.0,338.7
312,2024-05-21 14:47:20,348.0,371.85,354.15
313,2024-05-21 15:47:20,330.9,351.6,336.75
314,2024-05-21 16:47:20,40.2,55.35,44.7
315,2024-05-21 17:47:20,24.45,36.6,26.7
316,2024-05-21 18:47:20,28.8,46.95,34.95
317,2024-05-21 19:47:20,29.55,43.05,32.7
318,2024-05-21 20:47:20,32.55,44.7,35.85
319,2024-05-21 21:47:20,29.25,49.35,34.95
320,2024-05-21 22:47:20,31.95,36.15,33.0
321,2024-05-21 23:47:20,29.25,43.5,33.3
322,2024-05-22 00:47:20,26.4,29.55,27.15
323,2024-05-22 01:47:20,26.25,30.15,26.85
324,2024-05-22 02:47:20,23.1,23.85,23.4
325,2024-05-22 03:47:20,22.95,25.2,23.1
326,2024-05-22 04:47:20,22.8,36.0,26.1
327,2024-05-22 05:47:20,22.2,22.8,22.35
328,2024-05-22 06:47:20,27.15,28.5,27.6
329,2024-05-22 07:47:20,21.45,34.65,25.65
330,2024-05-22 08:47:20,21.9,33.0,22.95
331,2024-05-22 09:47:20,20.55,22.35,20.85
332,2024-05-22 10:47:20,20.55,22.35,21.15
333,2024-05-22 11:47:20,23.25,36.3,26.25
334,2024-05-22 12:47:20,30.6,31.95,30.9
335,2024-05-22 13:47:20,25.2,39.0,27.9
336,2024-05-22 14:47:20,26.1,42.0,31.2
337,2024-05-22 15:47:20,24.3,37.8,26.25
338,2024-05-22 16:47:20,23.25,36.3,26.1
339,2024-05-22 17:47:20,23.55,44.4,26.1
340,2024-05-22 18:47:20,24.0,47.55,29.4
341,2024-05-22 19:47:20,29.4,50.4,35.1
342,2024-05-22 20:47:20,28.95,32.55,29.7
343,2024-05-22 21:47:20,27.15,40.35,29.55
344,2024-05-22 22:47:20,27.15,39.75,28.8
345,2024-05-22 23:47:20,25.65,29.4,26.1
346,2024-05-23 00:47:20,26.55,27.9,27.0
347,2024-05-23 01:47:20,25.95,26.4,26.1
348,2024-05-23 02:47:20,23.55,36.3,27.45
349,2024-05-23 03:47:20,23.4,25.05,23.85
350,2024-05-23 04:47:20,23.55,25.35,24.15
351,2024-05-23 05:47:20,23.25,23.85,23.4
352,2024-05-23 06:47:20,25.65,37.65,27.0
353,2024-05-23 07:47:20,363.45,383.55,370.65
354,2024-05-23 08:47:20,368.1,380.7,371.1
355,2024-05-23 09:47:20,374.55,388.35,379.05
356,2024-05-23 10:47:20,373.8,385.05,376.35
357,2024-05-23 11:47:20,371.25,375.6,372.15
358,2024-05-23 12:47:20,379.65,406.8,384.6
359,2024-05-23 13:47:20,379.05,403.2,384.45
360,2024-05-23 14:47:20,375.3,392.4,378.75
361,2024-05-23 15:47:20,373.95,390.15,375.9
362,2024-05-23 16:47:20,358.35,361.2,359.4
363,2024-05-23 17:47:20,27.75,38.25,29.1
364,2024-05-23 18:47:20,28.5,31.05,29.4
365,2024-05-23 19:47:20,29.1,43.05,33.15
366,2024-05-23 20:47:20,31.35,52.5,39.15
367,2024-05-23 21:47:20,31.05,37.05,32.55
368,2024-05-23 22:47:20,30.75,34.5,31.2
369,2024-05-23 23:47:20,29.4,30.9,29.7
370,2024-05-24 00:47:20,25.2,39.15,28.2
371,2024-05-24 01:47:20,24.3,25.35,24.45
372,2024-05-24 02:47:20,22.5,34.65,25.35
373,2024-05-24 03:47:20,24.3,24.6,24.3
374,2024-05-24 04:47:20,22.05,22.65,22.2
375,2024-05-24 05:47:20,25.35,26.85,26.1
376,2024-05-24 06:47:20,23.4,24.75,24.0
377,2024-05-24 07:47:20,361.5,371.55,363.9
378,2024-05-24 08:47:20,345.6,350.1,346.95
379,2024-05-24 09:47:20,362.85,384.15,372.3
380,2024-05-24 10:47:20,361.65,378.9,367.95
381,2024-05-24 11:47:20,369.15,381.75,373.35
382,2024-05-24 12:47:20,326.1,348.15,332.1
383,2024-05-24 13:47:20,333.6,343.35,336.15
384,2024-05-24 14:47:20,366.0,381.6,369.3
385,2024-05-24 15:47:20,371.25,379.95,372.75
386,2024-05-24 16:47:20,326.4,342.9,330.75
387,2024-05-24 17:47:20,26.1,38.55,27.3
388,2024-05-24 18:47:20,28.8,38.55,30.45
389,2024-05-24 19:47:20,30.75,43.65,33.3
390,2024-05-24 20:47:20,29.7,44.1,31.2
391,2024-05-24 21:47:20,31.35,45.3,33.9
392,2024-05-24 22:47:20,32.1,49.5,36.45
393,2024-05-24 23:47:20,26.4,35.55,28.65
394,2024-05-25 00:47:20,26.4,39.6,30.15
395,2024-05-25 01:47:20,26.55,28.35,27.15
396,2024-05-25 02:47:20,23.85,37.35,26.85
